node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,3,0.0005628816429
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,3,0.001153374996
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,3,0.0006282103204
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,3,0.001328496138
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,3,0.0006978890726
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,4,0.0005567553497
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,4,0.0005396772708
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,4,0.0005287080294
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,4,0.0005834962286
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,4,0.0003031087064
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,4,0.0006354705918
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,4,0.0002986388192
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,4,0.0005751788616
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,4,0.001112158171
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,4,0.0005623252264
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,4,0.001325427918
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,4,0.0006934525711
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,5,5.310213725e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,5,0.0005436685468
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,5,5.34338034e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,5,0.0005164323463
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,5,0.0003110560988
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,5,0.0005924240109
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,5,0.0002954630447
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,5,0.0005858952091
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,5,0.001105868391
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,5,0.0006548159889
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,5,0.001125575886
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,5,0.0006154378255
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,6,5.267128526e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,6,0.0005561321974
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,6,5.413588314e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,6,0.000583992792
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,6,0.0002946930627
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,6,0.0006585057293
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,6,0.0003128066304
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,6,0.0006220619593
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,6,0.001295608708
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,6,0.0005741043105
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,6,0.001155892795
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,6,0.0006349575661
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,7,5.200647616e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,7,0.0005354783365
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,7,5.13053987e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,7,0.0006163858942
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,7,0.0003132009435
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,7,0.0005066738242
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,7,0.000280679993
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,7,0.000638852162
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,7,0.001092662769
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,7,0.0006707036069
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,7,0.001133261692
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,7,0.000607486424
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,8,6.008747344e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,8,0.0006027084731
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,8,5.077846082e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,8,0.0005054892174
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,8,0.0003022727157
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,8,0.0005720451474
