node,gpu,arm,N,K,rep,wall_s
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,9,0.8461
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,9,0.4721
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,9,0.8616
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,9,0.3986
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,10,0.8864
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,10,0.4888
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,10,0.8630
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,10,0.3999
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,1,2.9463
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,1,1.4261
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,1,2.9896
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,1,1.1691
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,2,3.0647
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,2,1.4462
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,2,2.9913
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,2,1.1362
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,3,3.0863
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,3,1.5113
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,3,2.9969
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,3,1.1436
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,4,3.1015
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,4,1.4403
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,4,3.2319
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,4,1.1354
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,5,3.0328
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,5,1.4573
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,5,2.9447
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,5,1.1419
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,6,2.9965
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,6,1.4990
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,6,3.0259
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,6,1.1604
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,7,2.9678
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,7,1.4248
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,7,3.1127
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,7,1.1539
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,8,3.2307
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,8,1.4342
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,8,3.0714
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,8,1.1524
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,9,3.0245
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,9,1.4111
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,9,3.0388
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,9,1.1404
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,0,10,2.9624
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,0,10,1.4333
inf03,NVIDIA_A100-PCIE-40GB,CPU,5000,50000,10,3.0858
inf03,NVIDIA_A100-PCIE-40GB,CUDA,5000,50000,10,1.1596
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,1,10.4083
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,1,6.8434
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,1,10.1101
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,1,6.5028
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,2,10.8816
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,2,7.0935
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,2,10.3292
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,2,6.3364
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,3,9.5195
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,3,6.6202
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,3,9.7699
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,3,6.2444
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,4,10.3548
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,4,6.9228
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,4,9.9371
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,4,6.5246
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,5,9.7565
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,5,6.9695
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,5,10.2975
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,5,6.2271
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,6,10.1123
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,6,6.9217
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,6,9.8137
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,6,6.4186
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,7,10.9069
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,7,7.0394
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,7,9.8333
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,7,6.4018
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,8,10.5163
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,8,7.1148
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,8,9.2177
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,8,5.7596
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,9,10.0781
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,9,7.0793
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,9,9.8673
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,9,6.5186
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,0,10,10.4626
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,0,10,7.0548
inf03,NVIDIA_A100-PCIE-40GB,CPU,10000,50000,10,9.9458
inf03,NVIDIA_A100-PCIE-40GB,CUDA,10000,50000,10,6.2433
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,1,33.9948
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,1,24.8330
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,1,32.2296
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,1,26.7799
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,2,34.6074
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,2,25.5672
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,2,32.1114
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,2,25.5237
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,3,34.3172
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,3,27.7302
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,3,30.9114
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,3,22.6716
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,4,29.7065
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,4,26.7311
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,4,33.9947
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,4,25.6557
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,5,32.0793
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,5,25.6111
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,5,29.4287
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,5,26.2268
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,6,33.1052
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,6,27.3199
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,6,33.8017
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,6,23.6880
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,7,30.0729
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,7,28.0458
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,7,32.6375
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,7,25.4740
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,8,32.1117
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,8,25.2251
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,8,29.1954
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,8,26.7661
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,9,34.6959
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,9,26.7989
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,9,36.0160
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,9,23.1979
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,0,10,32.7819
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,0,10,27.9695
inf03,NVIDIA_A100-PCIE-40GB,CPU,20000,50000,10,33.8687
inf03,NVIDIA_A100-PCIE-40GB,CUDA,20000,50000,10,27.7502
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,1,177.8540
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,1,149.5133
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,1,168.8917
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,1,136.7778
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,2,158.5080
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,2,140.6451
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,2,166.9876
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,2,136.5943
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,3,150.4291
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,3,133.5242
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,3,171.6582
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,3,137.2174
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,4,158.2265
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,4,144.4843
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,4,171.1557
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,4,155.7375
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,5,171.3979
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,5,149.8603
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,5,154.6820
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,5,133.6080
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,6,153.6215
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,6,138.4973
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,6,162.0326
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,6,139.7652
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,7,157.3408
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,7,141.2351
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,7,183.7955
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,7,151.8566
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,8,160.7469
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,8,138.9361
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,8,160.5501
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,8,139.1757
