node,gpu,arm,N,K,rep,wall_s
inf02,NVIDIA_A40,CUDA,20000,50000,9,23.7745
inf02,NVIDIA_A40,CPU,20000,0,10,34.2837
inf02,NVIDIA_A40,CUDA,20000,0,10,25.7686
inf02,NVIDIA_A40,CPU,20000,50000,10,30.8673
inf02,NVIDIA_A40,CUDA,20000,50000,10,21.8228
inf02,NVIDIA_A40,CPU,50000,0,1,185.5825
inf02,NVIDIA_A40,CUDA,50000,0,1,148.4508
inf02,NVIDIA_A40,CPU,50000,50000,1,159.0111
inf02,NVIDIA_A40,CUDA,50000,50000,1,133.8902
inf02,NVIDIA_A40,CPU,50000,0,2,188.2511
inf02,NVIDIA_A40,CUDA,50000,0,2,123.1544
inf02,NVIDIA_A40,CPU,50000,50000,2,172.6009
inf02,NVIDIA_A40,CUDA,50000,50000,2,140.6712
inf02,NVIDIA_A40,CPU,50000,0,3,157.4280
inf02,NVIDIA_A40,CUDA,50000,0,3,144.0285
inf02,NVIDIA_A40,CPU,50000,50000,3,180.8538
inf02,NVIDIA_A40,CUDA,50000,50000,3,121.1384
inf02,NVIDIA_A40,CPU,50000,0,4,178.3659
inf02,NVIDIA_A40,CUDA,50000,0,4,158.0385
inf02,NVIDIA_A40,CPU,50000,50000,4,160.0245
inf02,NVIDIA_A40,CUDA,50000,50000,4,129.0881
inf02,NVIDIA_A40,CPU,50000,0,5,171.2533
inf02,NVIDIA_A40,CUDA,50000,0,5,130.2148
inf02,NVIDIA_A40,CPU,50000,50000,5,176.1121
inf02,NVIDIA_A40,CUDA,50000,50000,5,143.1689
inf02,NVIDIA_A40,CPU,50000,0,6,167.2908
inf02,NVIDIA_A40,CUDA,50000,0,6,125.5941
inf02,NVIDIA_A40,CPU,50000,50000,6,176.4893
inf02,NVIDIA_A40,CUDA,50000,50000,6,120.4454
inf02,NVIDIA_A40,CPU,50000,0,7,174.1967
inf02,NVIDIA_A40,CUDA,50000,0,7,148.2232
inf02,NVIDIA_A40,CPU,50000,50000,7,160.1446
inf02,NVIDIA_A40,CUDA,50000,50000,7,137.9644
inf02,NVIDIA_A40,CPU,50000,0,8,185.3682
inf02,NVIDIA_A40,CUDA,50000,0,8,147.2937
inf02,NVIDIA_A40,CPU,50000,50000,8,154.2335
inf02,NVIDIA_A40,CUDA,50000,50000,8,144.5018
inf02,NVIDIA_A40,CPU,50000,0,9,176.0536
inf02,NVIDIA_A40,CUDA,50000,0,9,132.5622
inf02,NVIDIA_A40,CPU,50000,50000,9,169.4425
inf02,NVIDIA_A40,CUDA,50000,50000,9,153.7476
inf02,NVIDIA_A40,CPU,50000,0,10,153.0465
inf02,NVIDIA_A40,CUDA,50000,0,10,143.7352
inf02,NVIDIA_A40,CPU,50000,50000,10,171.9004
inf02,NVIDIA_A40,CUDA,50000,50000,10,136.0877
inf02,NVIDIA_A40,CPU,100000,0,1,631.1828
inf02,NVIDIA_A40,CUDA,100000,0,1,550.7787
