node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,GPU,4,0.0006657488289
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,CPU,4,0.0006944721653
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,GPU,4,0.0007227176002
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,CPU,4,0.0007037917773
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,GPU,4,0.000696966194
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,CPU,4,0.001406584467
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,GPU,4,0.0007473055805
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,CPU,4,0.001385934012
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,GPU,4,0.0006892165258
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,CPU,4,0.003633008968
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,GPU,4,0.0007968098635
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,CPU,4,0.003927346638
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,GPU,4,0.0008083747256
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,CPU,4,0.007350458985
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,GPU,4,0.001105005117
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,CPU,4,0.007851951463
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,GPU,4,0.001118226704
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,CPU,4,0.01472599831
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,GPU,4,0.002118835801
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,CPU,4,0.01495453119
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,GPU,4,0.002164415473
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,CPU,4,0.02113604329
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,GPU,4,0.002183427323
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,CPU,4,0.02248891917
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,GPU,4,0.002201062983
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,CPU,4,0.03167660887
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,GPU,4,0.002268430184
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,CPU,4,0.03238255111
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,GPU,4,0.002292152426
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,CPU,4,0.04893136891
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,GPU,4,0.002428623763
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,CPU,4,0.05035177144
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,GPU,4,0.002445642786
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,CPU,4,0.06624588099
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,GPU,4,0.002615606243
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,CPU,4,0.06934457692
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,GPU,4,0.002673006058
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,CPU,4,0.0988889174
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,GPU,4,0.003128720955
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,CPU,4,0.1067756393
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,GPU,4,0.003261692416
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,CPU,4,0.1304578608
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,GPU,4,0.003789426793
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,CPU,4,0.1361316074
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,GPU,4,0.003916212916
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,CPU,4,0.1621202295
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,GPU,4,0.004425430027
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,CPU,4,0.1682914387
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,GPU,4,0.004546974464
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,CPU,5,0.0001065632683
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,GPU,5,0.0006801078717
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,CPU,5,0.0001110716324
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,GPU,5,0.0006336000704
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,CPU,5,0.0007769969957
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,GPU,5,0.0007111608982
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,CPU,5,0.0007918028604
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,GPU,5,0.0007070599567
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,CPU,5,0.00144433294
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,GPU,5,0.0007027960959
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,CPU,5,0.001387513961
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,GPU,5,0.0007759830781
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,CPU,5,0.003377389624
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,GPU,5,0.0007415857343
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,CPU,5,0.003884080762
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,GPU,5,0.001060111821
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,CPU,5,0.007254609608
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,GPU,5,0.001118350029
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,CPU,5,0.007747215884
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,GPU,5,0.001113659002
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,CPU,5,0.01466436278
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,GPU,5,0.002124205638
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,CPU,5,0.01477035067
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,GPU,5,0.002128087932
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,CPU,5,0.02145495198
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,GPU,5,0.002178691328
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,CPU,5,0.02195632674
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,GPU,5,0.002193901485
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,CPU,5,0.03068518205
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,GPU,5,0.002286797491
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,CPU,5,0.03190215501
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,GPU,5,0.0023046396
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,CPU,5,0.04922190146
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,GPU,5,0.002428367192
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,CPU,5,0.05045432177
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,GPU,5,0.002484897321
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,CPU,5,0.06606608304
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,GPU,5,0.002642604438
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,CPU,5,0.06908578873
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,GPU,5,0.002666332505
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,CPU,5,0.09979030436
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,GPU,5,0.003117191521
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,CPU,5,0.1064614036
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,GPU,5,0.003266437487
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,CPU,5,0.1323854446
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,GPU,5,0.003797073527
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,CPU,5,0.1352628101
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,GPU,5,0.003895407373
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,CPU,5,0.1637574456
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,GPU,5,0.004424255003
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,CPU,5,0.1688977675
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,GPU,5,0.004532857917
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,CPU,6,0.0001065943035
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,GPU,6,0.0007100447303
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,CPU,6,0.0001118356096
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,GPU,6,0.0006819304256
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,CPU,6,0.0006926510306
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,GPU,6,0.0007013887877
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,CPU,6,0.0007055613257
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,GPU,6,0.0007005279972
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,CPU,6,0.001376882621
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,GPU,6,0.0007257094695
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,CPU,6,0.001444383462
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,GPU,6,0.000765328535
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,CPU,6,0.003674460877
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,GPU,6,0.0007840221836
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,CPU,6,0.00397518192
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,GPU,6,0.00108373676
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,CPU,6,0.007476972966
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,GPU,6,0.001099933187
