study,N,arm,kind,rep,wall_s,internal
1,10000,GPU,full,15,3.333965,407.600000
1,20000,CPU,construct,0,8.437359,
1,20000,CPU,construct,1,8.472138,
1,20000,CPU,construct,2,8.308946,
1,20000,CPU,full,0,20.162206,11.630863
1,20000,CPU,full,1,20.247177,11.678969
1,20000,CPU,full,2,20.321578,11.808435
1,20000,CPU,full,3,20.254014,11.860755
1,20000,CPU,full,4,20.388632,11.937541
1,20000,CPU,full,5,20.632574,11.979907
1,20000,CPU,full,6,20.630458,11.878702
1,20000,CPU,full,7,20.608074,11.778798
1,20000,CPU,full,8,20.433084,11.761121
1,20000,CPU,full,9,20.275381,11.691394
1,20000,GPU,construct,0,65.878068,
1,20000,GPU,construct,1,9.030657,
1,20000,GPU,construct,2,9.131781,
1,20000,GPU,full,0,12.777882,3568.800000
1,20000,GPU,full,1,13.373876,3314.900000
1,20000,GPU,full,2,13.210568,3327.800000
1,20000,GPU,full,3,13.084189,3473.400000
1,20000,GPU,full,4,13.203612,3476.500000
1,20000,GPU,full,5,13.144207,3374.500000
1,20000,GPU,full,6,12.643181,3399.100000
1,20000,GPU,full,7,12.514547,3411.100000
1,20000,GPU,full,8,12.104679,3290.200000
1,20000,GPU,full,9,12.786772,3301.800000
1,50000,CPU,construct,0,59.482786,
1,50000,CPU,construct,1,60.519146,
1,50000,CPU,full,0,95.509789,30.829656
1,50000,CPU,full,1,92.801206,30.333063
1,50000,CPU,full,2,91.179588,30.437373
1,50000,CPU,full,3,90.198126,30.361588
1,50000,CPU,full,4,87.191362,30.122290
1,50000,GPU,construct,0,61.277426,
1,50000,GPU,construct,1,65.600312,
1,50000,GPU,full,0,73.318800,
1,50000,GPU,full,1,72.196563,
1,50000,GPU,full,2,74.748887,
1,50000,GPU,full,3,74.743736,
1,50000,GPU,full,4,72.191744,
