N,mode,rep,seconds
20000,GPU,3,0.324800
20000,GPU,4,0.322000
20000,GPU,5,0.350700
20000,GPU,6,0.337700
20000,GPU,7,0.356500
20000,GPU,8,0.372300
20000,GPU,9,0.332100
20000,GPU,10,0.340300
20000,GPU,11,0.330100
20000,GPU,12,0.329400
20000,GPU,13,0.338600
20000,GPU,14,0.329400
20000,GPU,15,0.355200
20000,GPU,16,0.351900
20000,GPU,17,0.338300
20000,GPU,18,0.311600
20000,GPU,19,0.337000
20000,GPU,20,0.337800
20000,GPU,21,0.335900
20000,GPU,22,0.311400
20000,GPU,23,0.336900
20000,GPU,24,0.316400
20000,GPU,25,0.348800
20000,GPU,26,0.341500
20000,GPU,27,0.330300
20000,GPU,28,0.345000
20000,GPU,29,0.345200
