benchmark,mode,size_key,size_value,steps,replicate,real_seconds,error_lines,exit_code
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,7,1.095848,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,8,1.104842,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,9,1.093732,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,10,1.092331,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,1,0.245778,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,2,0.234196,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,3,0.239604,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,4,0.239606,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,5,0.233683,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,6,0.245929,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,7,0.233980,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,8,0.240378,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,9,0.247737,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,10,0.235519,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,1,0.250460,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,2,0.248307,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,3,0.248793,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,4,0.242251,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,5,0.246041,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,6,0.261953,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,7,0.245273,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,8,0.242857,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,9,0.246938,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,10,0.250557,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,1,0.279742,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,2,0.269643,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,3,0.272993,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,4,0.273610,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,5,0.264551,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,6,0.282825,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,7,0.266896,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,8,0.264605,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,9,0.267548,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,10,0.270675,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,1,0.281050,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,2,0.285038,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,3,0.294707,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,4,0.288505,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,5,0.284042,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,6,0.288710,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,7,0.289119,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,8,0.284673,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,9,0.284457,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,10,0.285594,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,1,0.302980,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,2,0.314522,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,3,0.307786,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,4,0.308781,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,5,0.306671,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,6,0.301293,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,7,0.300916,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,8,0.302106,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,9,0.308562,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,10,0.305448,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,1,0.332240,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,2,0.323738,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,3,0.324679,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,4,0.326916,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,5,0.321318,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,6,0.325427,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,7,0.326174,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,8,0.324864,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,9,0.334148,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,10,0.324583,0,0
