benchmark,mode,size_key,size_value,steps,replicate,real_seconds,error_lines,exit_code
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,6,0.331626,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,7,0.334850,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,8,0.327504,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,9,0.326921,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,10,0.327325,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,1,0.396893,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,2,0.374832,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,3,0.378953,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,4,0.416453,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,5,0.380761,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,6,0.383686,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,7,0.377463,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,8,0.411714,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,9,0.385952,0,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,10,0.381934,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,1,0.531393,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,2,0.593786,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,3,0.539613,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,4,0.607413,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,5,0.536034,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,6,0.537168,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,7,0.524449,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,8,0.541841,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,9,0.542812,0,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,10,0.558120,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,1,0.767885,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,2,0.751673,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,3,0.812602,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,4,0.767076,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,5,0.750297,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,6,0.784699,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,7,0.773631,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,8,0.924197,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,9,0.743533,0,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,10,0.761861,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,1,1.097262,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,2,1.093525,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,3,1.085413,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,4,1.090544,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,5,1.097577,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,6,1.082985,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,7,1.051670,0,0
